LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_0,NAME_0,ID_1,NAME_1
-4.534428403,54.31049168,S/LFM+CDN/H:1,"Steel, low rise",4.501389922462011,Ind,300,1675.0,2261948.4360371605,339292.2654055741,565487.1090092901,1357169.0616222962,168.46148306407085,69.80167858463162,5.881158835249777,11.30814551215882,28.99699431068007,Ballaugh,11,110,Isle of Man,4,Michael
-4.510070359,54.35769389,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",1.8616213361499867,Ind,300,1758.75,982265.8818061791,147339.88227092684,245566.47045154477,589359.5290837074,69.66992342223396,28.867593430155797,2.4322466965936096,4.676663279640877,11.99216780213009,Jurby,12,110,Isle of Man,4,Michael
-4.510070359,54.35769389,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",0.9308106680749934,Ind,300,1758.75,491132.94090308953,73669.94113546342,122783.23522577234,294679.7645418537,34.83496171111698,14.433796715077893,1.2161233482968048,2.3383316398204386,5.996083901065045,Jurby,12,110,Isle of Man,4,Michael
-4.510070359,54.35769389,S+SL/LFM+CDN/H:1,"Steel, low rise",1.6923830328636242,Ind,300,1675.0,850422.4740139713,127563.37110209568,212605.61850349282,510253.48440838273,63.33629402021268,26.24326675468708,2.211133360539645,4.251512072400796,10.901970729209173,Jurby,12,110,Isle of Man,4,Michael
-4.510070359,54.35769389,S/LFBR+CDN/H:1,"Steel, low rise",0.5923340615022685,Ind,300,1675.0,297647.86590488994,44647.17988573349,74411.96647622249,178588.71954293395,22.167702907074442,9.185143364140481,0.773896676188876,1.4880292253402791,3.8156897552232114,Jurby,12,110,Isle of Man,4,Michael
-4.510070359,54.35769389,S/LFM+CDN/H:1,"Steel, low rise",3.3847660657272485,Ind,300,1675.0,1700844.9480279426,255126.74220419128,425211.23700698564,1020506.9688167655,126.67258804042535,52.48653350937416,4.42226672107929,8.503024144801593,21.803941458418347,Jurby,12,110,Isle of Man,4,Michael
-4.562839493999999,54.26834082,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.816803538420914,Ind,300,1758.75,2013898.2190124104,302084.7328518616,503474.5547531026,1208338.9314074465,142.8412991814101,59.1860066332189,4.986732595722208,9.588365048851331,24.587034759264146,Michael,13,110,Isle of Man,4,Michael
-4.562839493999999,54.26834082,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.9084017692104565,Ind,300,1758.75,1006949.1095062052,151042.36642593078,251737.2773765513,604169.4657037231,71.42064959070503,29.593003316609444,2.4933662978611038,4.794182524425666,12.293517379632073,Michael,13,110,Isle of Man,4,Michael
-4.562839493999999,54.26834082,S+SL/LFM+CDN/H:1,"Steel, low rise",3.4698213985644664,Ind,300,1675.0,1743585.2527786444,261537.78791679663,435896.3131946611,1046151.1516671865,129.85572652855458,53.80546057565354,4.5333932688383705,8.716695498955758,22.351849781149227,Michael,13,110,Isle of Man,4,Michael
-4.562839493999999,54.26834082,S/LFBR+CDN/H:1,"Steel, low rise",1.2144374894975634,Ind,300,1675.0,610254.8384725256,91538.22577087882,152563.7096181314,366152.9030835153,45.449504284994106,18.83191120147874,1.5866876440934297,3.050843424634515,7.823147423402228,Michael,13,110,Isle of Man,4,Michael
-4.562839493999999,54.26834082,S/LFM+CDN/H:1,"Steel, low rise",6.939642797128933,Ind,300,1675.0,3487170.505557289,523075.57583359326,871792.6263893222,2092302.303334373,259.71145305710917,107.61092115130708,9.06678653767674,17.433390997911516,44.70369956229845,Michael,13,110,Isle of Man,4,Michael
-4.518642901000001,54.18940034,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",8.686766569844204,Ind,300,1758.75,4583485.512912597,687522.8269368893,1145871.3782281491,2750091.3077475573,325.0963823607077,134.7030358383945,11.349439804594667,21.82241976234486,55.958298468444674,Braddan,14,110,Isle of Man,5,Middle
-4.518642901000001,54.18940034,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",4.343383284922102,Ind,300,1758.75,2291742.7564562983,343761.41346844466,572935.6891140746,1375045.6538737786,162.54819118035385,67.35151791919725,5.6747199022973325,10.91120988117243,27.979149234222337,Braddan,14,110,Isle of Man,5,Middle
-4.518642901000001,54.18940034,S+SL/LFM+CDN/H:1,"Steel, low rise",7.8970605180401865,Ind,300,1675.0,3968272.9103151923,595240.936547279,992068.2275787984,2380963.746189116,295.5421657824615,122.45730530763134,10.317672549631514,19.838563420313513,50.871180425858796,Braddan,14,110,Isle of Man,5,Middle
-4.518642901000001,54.18940034,S/LFBR+CDN/H:1,"Steel, low rise",2.7639711813140653,Ind,300,1675.0,1388895.5186103177,208334.32779154766,347223.87965257943,833337.3111661907,103.43975802386154,42.860056857670976,3.611185392371031,6.94349719710973,17.80491314905058,Braddan,14,110,Isle of Man,5,Middle
-4.518642901000001,54.18940034,S/LFM+CDN/H:1,"Steel, low rise",15.794121036080373,Ind,300,1675.0,7936545.820630387,1190481.873094558,1984136.4551575969,4761927.492378232,591.0843315649231,244.91461061526272,20.63534509926303,39.67712684062703,101.74236085171759,Braddan,14,110,Isle of Man,5,Middle
-4.491207725,54.15836389,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",64.76571032479535,Ind,300,1758.75,34172979.39577502,5125946.909366253,8543244.848943755,20503787.63746501,2423.813044626353,1004.3020874148399,84.61773720095061,162.7008744335886,417.2068996831264,Douglas,15,110,Isle of Man,5,Middle
-4.491207725,54.15836389,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",32.382855162397675,Ind,300,1758.75,17086489.69788751,2562973.4546831264,4271622.4244718775,10251893.818732506,1211.9065223131765,502.15104370742006,42.308868600475314,81.3504372167943,208.6034498415632,Douglas,15,110,Isle of Man,5,Middle
-4.491207725,54.15836389,S+SL/LFM+CDN/H:1,"Steel, low rise",58.87791847708668,Ind,300,1675.0,29586154.034736056,4437923.105210409,7396538.508684014,17751692.420841634,2203.4664042057752,913.0018976498544,76.92521563722784,147.90988584871687,379.27899971193307,Douglas,15,110,Isle of Man,5,Middle
