ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,DWELLINGS,DWELLINGS_PER_BUILDING
18,W/LWAL+CDL/HBET:1-3,338.7099,RURAL,1016.1297,3
18,W/LWAL+CDL/HBET:1-3,196.743,URBAN,590.229,3
19,CR/LFINF+CDN/H:3,975.2112,RURAL,2925.6336,3
19,CR/LFINF+CDN/H:3,13693.334,URBAN,41080.002,3
19,CR/LWAL+CDN/HBET:4-10,51.9783,RURAL,519.783,10
19,CR/LWAL+CDN/HBET:4-10,729.8477,URBAN,7298.477,10
19,MUR+CB/LWAL+CDN/HBET:1-2,321.7702,RURAL,321.7702,1
19,MUR+CB/LWAL+CDN/HBET:1-2,4518.1051,URBAN,4518.1051,1
19,MUR+CB/LWAL+CDN/HBET:1-4,55.0722,RURAL,220.2888,4
19,MUR+CB/LWAL+CDN/HBET:1-4,773.2911,URBAN,3093.1644,4
19,MUR+CL/LWAL+CDN/HBET:1-4,26.6079,RURAL,106.4316,4
19,MUR+CL/LWAL+CDN/HBET:1-4,373.6125,URBAN,1494.45,4
19,MUR+CL/LWAL+CDN/HBET:1-4,191.2058,RURAL,382.4116,2
19,MUR+CL/LWAL+CDN/HBET:1-4,2684.7971,URBAN,5369.5942,2
19,W/LPB+CDL/HBET:1-3,231.427,RURAL,231.427,1
19,W/LPB+CDL/HBET:1-3,3249.5602,URBAN,3249.5602,1
19,W/LWAL+CDL/HBET:1-3,119.4262,RURAL,358.2786,3
19,W/LWAL+CDL/HBET:1-3,1676.9121,URBAN,5030.7363,3
20,CR/LFINF+CDN/H:3,1315.551,RURAL,3946.653,3
20,CR/LFINF+CDN/H:3,1836.616,URBAN,5509.848,3
20,CR/LWAL+CDN/HBET:4-10,70.1182,RURAL,701.182,10
20,CR/LWAL+CDN/HBET:4-10,97.8907,URBAN,978.907,10
20,MUR+CB/LWAL+CDN/HBET:1-2,434.065,RURAL,434.065,1
20,MUR+CB/LWAL+CDN/HBET:1-2,605.99,URBAN,605.99,1
20,MUR+CB/LWAL+CDN/HBET:1-4,74.2919,RURAL,297.1676,4
20,MUR+CB/LWAL+CDN/HBET:1-4,103.7175,URBAN,414.87,4
20,MUR+CL/LWAL+CDN/HBET:1-4,35.8938,RURAL,143.5752,4
20,MUR+CL/LWAL+CDN/HBET:1-4,50.1107,URBAN,200.4428,4
20,MUR+CL/LWAL+CDN/HBET:1-4,257.9348,RURAL,515.8696,2
20,MUR+CL/LWAL+CDN/HBET:1-4,360.0979,URBAN,720.1958,2
20,W/LPB+CDL/HBET:1-3,312.1929,RURAL,312.1929,1
20,W/LPB+CDL/HBET:1-3,435.8467,URBAN,435.8467,1
20,W/LWAL+CDL/HBET:1-3,161.1049,RURAL,483.3147,3
20,W/LWAL+CDL/HBET:1-3,224.9155,URBAN,674.7465,3
21,CR/LFINF+CDN/H:3,82.1536,RURAL,246.4608,3
21,CR/LFINF+CDN/H:3,1287.8322,URBAN,3863.4966,3
21,CR/LWAL+CDN/HBET:4-10,4.3787,RURAL,43.787,10
21,CR/LWAL+CDN/HBET:4-10,68.6408,URBAN,686.408,10
21,MUR+CB/LWAL+CDN/HBET:1-2,27.1065,RURAL,27.1065,1
21,MUR+CB/LWAL+CDN/HBET:1-2,424.9193,URBAN,424.9193,1
21,MUR+CB/LWAL+CDN/HBET:1-4,4.6394,RURAL,18.5576,4
21,MUR+CB/LWAL+CDN/HBET:1-4,72.7266,URBAN,290.9064,4
21,MUR+CL/LWAL+CDN/HBET:1-4,2.2415,RURAL,8.966,4
21,MUR+CL/LWAL+CDN/HBET:1-4,35.1376,URBAN,140.5504,4
21,MUR+CL/LWAL+CDN/HBET:1-4,16.1075,RURAL,32.215,2
21,MUR+CL/LWAL+CDN/HBET:1-4,252.5001,URBAN,505.0002,2
21,W/LPB+CDL/HBET:1-3,19.4959,RURAL,19.4959,1
21,W/LPB+CDL/HBET:1-3,305.615,URBAN,305.615,1
21,W/LWAL+CDL/HBET:1-3,10.0607,RURAL,30.1821,3
21,W/LWAL+CDL/HBET:1-3,157.7104,URBAN,473.1312,3
22,CR/LFINF+CDN/H:3,738.8001,RURAL,2216.4003,3
22,CR/LFINF+CDN/H:3,570.7514,URBAN,1712.2542,3
22,CR/LWAL+CDN/HBET:4-10,39.3777,RURAL,393.777,10
22,CR/LWAL+CDN/HBET:4-10,30.4208,URBAN,304.208,10
22,MUR+CB/LWAL+CDN/HBET:1-2,243.7665,RURAL,243.7665,1
22,MUR+CB/LWAL+CDN/HBET:1-2,188.319,URBAN,188.319,1
22,MUR+CB/LWAL+CDN/HBET:1-4,41.7216,RURAL,166.8864,4
22,MUR+CB/LWAL+CDN/HBET:1-4,32.2315,URBAN,128.926,4
22,MUR+CL/LWAL+CDN/HBET:1-4,20.1576,RURAL,80.6304,4
22,MUR+CL/LWAL+CDN/HBET:1-4,15.5725,URBAN,62.29,4
22,MUR+CL/LWAL+CDN/HBET:1-4,144.8536,RURAL,289.7072,2
22,MUR+CL/LWAL+CDN/HBET:1-4,111.9049,URBAN,223.8098,2
22,W/LPB+CDL/HBET:1-3,175.3244,RURAL,175.3244,1
22,W/LPB+CDL/HBET:1-3,135.4448,URBAN,135.4448,1
